variant,tag,reference,max-dt-200,max-dt-400,max-gap-freq-80,max-gap-freq-99,max-gap-num-50,max-gap-num-500,min-seqs-2,min-seqs-6,no-ambiguous
703010131-3-8221-A,703010131-3,0.004,0.004,0.0026,0.004,0.0045,0.004,0.004,0.004,0.004,0.0044
703010131-3-8224-C,703010131-3,0.0259,0.0259,0.0251,0.0259,0.0254,0.026,0.0258,0.0259,0.0259,0.0269
703010131-3-8259-A,703010131-3,-0.0121,-0.0121,-0.0134,-0.0121,-0.012,-0.0124,-0.012,-0.0121,-0.0121,-0.0122
703010131-3-8288-G,703010131-3,-0.0075,-0.0075,-0.0078,-0.0075,-0.0064,-0.0075,-0.0075,-0.0075,-0.0075,-0.0085
703010131-3-8339-A,703010131-3,-0.0024,-0.0024,-0.0039,-0.0024,-0.0025,,-0.0024,-0.0024,-0.0024,-0.0022
703010131-3-8370-C,703010131-3,-0.003,-0.003,-0.0044,-0.003,-0.003,-0.0032,-0.003,-0.003,-0.003,-0.0027
703010131-3-8375-A,703010131-3,-0.0024,-0.0024,-0.001,-0.0024,-0.0024,-0.0032,-0.0024,-0.0024,-0.0024,-0.0036
703010131-3-8419-A,703010131-3,-0.0148,-0.0148,-0.0164,-0.0148,-0.0151,-0.0151,-0.0147,-0.0148,-0.0148,-0.0148
703010131-3-8446-G,703010131-3,0.0108,0.0108,0.0094,0.0108,0.0105,0.0108,0.0108,0.0108,0.0108,0.0121
703010131-3-8449-A,703010131-3,0.0002,0.0002,-0.0016,0.0002,0.0003,-0.0,0.0002,0.0002,0.0002,0.0007
703010131-3-8455-A,703010131-3,0.0001,0.0001,0.0032,0.0001,0.0004,-0.0003,0.0001,0.0001,0.0001,0.0009
703010131-3-8461-G,703010131-3,0.0013,0.0013,0.0016,0.0013,0.0013,0.0014,0.0012,0.0013,0.0013,0.0014
703010131-3-8472-C,703010131-3,-0.0096,-0.0096,-0.0102,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.007
703010131-3-8485-T,703010131-3,-0.0018,-0.0018,-0.0026,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018
703010131-3-8486-G,703010131-3,0.0034,0.0034,0.0032,0.0034,0.0033,0.0035,0.0034,0.0034,0.0034,0.0033
703010131-3-8489-C,703010131-3,-0.0024,-0.0024,-0.006,-0.0024,-0.0025,-0.0019,-0.0023,-0.0024,-0.0024,-0.0032
703010131-3-8534-T,703010131-3,0.0013,0.0013,-0.0004,0.0013,0.0015,0.0013,0.0013,0.0013,0.0013,
703010131-3-8546-G,703010131-3,-0.0005,-0.0005,-0.001,-0.0005,-0.0005,-0.0004,-0.0005,-0.0005,-0.0005,-0.0006
703010131-3-8558-A,703010131-3,-0.0069,-0.0069,-0.0084,-0.0069,-0.007,-0.0067,-0.0069,-0.0069,-0.0069,-0.0072
703010131-3-8581-A,703010131-3,-0.0069,-0.0069,-0.0084,-0.0069,-0.007,-0.0067,-0.0069,-0.0069,-0.0069,-0.0072
703010131-3-8598-C,703010131-3,0.0256,0.0256,0.0226,0.0256,0.0248,0.0259,0.0255,0.0256,0.0256,0.0268
703010131-3-8621-C,703010131-3,0.0026,0.0026,0.0015,0.0026,0.0025,0.0027,0.0026,0.0026,0.0026,0.0025
703010131-3-8638-C,703010131-3,-0.0087,-0.0087,-0.0105,-0.0087,-0.008,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087
703010131-3-8645-G,703010131-3,0.0044,0.0044,0.0037,0.0044,0.0045,0.0046,0.0044,0.0044,0.0044,0.0041
703010131-3-8676-G,703010131-3,0.0107,0.0107,0.0112,0.0107,0.0112,0.0108,0.0107,0.0107,0.0107,0.0108
703010131-3-8677-G,703010131-3,0.0104,0.0104,0.0105,0.0104,0.0108,0.0104,0.0104,0.0104,0.0104,0.0104
703010131-3-8679-A,703010131-3,-0.0004,-0.0004,0.0035,-0.0004,-0.0004,,-0.0004,-0.0004,-0.0004,-0.0005
703010131-3-8693-C,703010131-3,0.0099,0.0099,0.0096,0.0099,0.0103,0.01,0.0099,0.0099,0.0099,0.01
703010131-3-8696-G,703010131-3,0.0036,0.0036,0.0067,0.0036,0.0037,0.004,0.0036,0.0036,0.0036,0.004
703010131-3-8708-A,703010131-3,-0.0099,-0.0099,-0.0122,-0.0099,-0.0099,-0.0097,-0.0099,-0.0099,-0.0099,-0.0093
703010131-3-8720-C,703010131-3,0.0005,0.0005,0.0012,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006
703010131-3-8737-T,703010131-3,-0.0026,-0.0026,-0.0037,-0.0026,-0.0026,-0.0028,-0.0026,-0.0026,-0.0026,-0.0023
703010131-3-8750-C,703010131-3,0.0001,0.0001,-0.0011,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
703010131-3-8753-C,703010131-3,0.0206,0.0206,0.0229,0.0206,0.0211,0.0209,0.0205,0.0206,0.0206,0.0224
703010131-3-8777-G,703010131-3,0.004,0.004,0.003,0.004,0.0041,0.0042,0.004,0.004,0.004,0.0037
703010131-3-8789-C,703010131-3,0.0022,0.0022,0.002,0.0022,0.0022,0.0023,0.0022,0.0022,0.0022,0.0016
703010131-3-8796-C,703010131-3,-0.0006,-0.0006,0.0002,-0.0006,-0.0008,-0.0005,-0.0006,-0.0006,-0.0006,-0.0012
703010131-3-8863-A,703010131-3,0.0002,0.0002,0.0027,0.0002,0.0003,-0.0,0.0002,0.0002,0.0002,0.0007
703010131-3-8865a--,703010131-3,0.0033,0.0033,0.0031,0.0033,0.0014,0.0034,0.0033,0.0033,0.0033,0.0035
703010131-3-8865b--,703010131-3,0.0027,0.0027,0.0018,0.0027,0.0008,0.0027,0.0027,0.0027,0.0027,0.0028
703010131-3-8865c--,703010131-3,0.0027,0.0027,0.0018,0.0027,0.0008,0.0027,0.0027,0.0027,0.0027,0.0028
703010131-3-8865d--,703010131-3,0.0027,0.0027,0.0018,0.0027,0.0008,0.0027,0.0027,0.0027,0.0027,0.0029
703010131-3-8865e--,703010131-3,0.0085,0.0085,0.0084,0.0085,0.0068,0.0086,0.0085,0.0085,0.0085,0.0087
703010131-3-8865e-T,703010131-3,0.0117,0.0117,0.0113,0.0117,0.0111,0.0118,0.0117,0.0117,0.0117,0.0118
703010131-3-8865f--,703010131-3,0.0033,0.0033,0.0031,0.0033,0.0014,0.0034,0.0033,0.0033,0.0033,0.0035
703010131-3-8865g-G,703010131-3,0.0064,0.0064,0.0084,0.0064,0.0066,0.0064,0.0064,0.0064,0.0064,0.0065
703010131-3-8865h-A,703010131-3,0.0062,0.0062,0.0025,0.0062,0.0064,0.0062,0.0062,0.0062,0.0062,0.0063
703010131-3-8865i-G,703010131-3,0.0064,0.0064,0.0071,0.0064,0.0066,0.0064,0.0064,0.0064,0.0064,0.0065
703010131-3-8866-A,703010131-3,0.0596,0.0596,0.0583,0.0596,0.0642,0.0599,0.0596,0.0596,0.0596,0.0593
703010131-3-8866-C,703010131-3,0.0485,0.0485,0.0486,0.0485,0.0509,0.0487,0.0484,0.0485,0.0485,0.0493
703010131-3-8867-C,703010131-3,0.0467,0.0467,0.047,0.0467,0.0497,0.0466,0.0468,0.0467,0.0467,0.0481
703010131-3-8867-G,703010131-3,0.0429,0.0429,0.0415,0.0429,0.0469,0.0421,0.043,0.0429,0.0429,0.0443
703010131-3-8867-T,703010131-3,0.0412,0.0412,0.0411,0.0412,0.0435,0.0406,0.0412,0.0412,0.0412,0.0455
703010131-3-8869-T,703010131-3,0.0213,0.0213,0.0202,0.0213,0.0223,0.0212,0.0213,0.0213,0.0213,0.0218
703010131-3-8870-A,703010131-3,0.0536,0.0536,0.0511,0.0536,0.0559,0.0537,0.0536,0.0536,0.0536,0.0509
703010131-3-8870-T,703010131-3,0.0787,0.0787,0.0757,0.0787,0.0808,0.0791,0.0787,0.0787,0.0787,0.071
703010131-3-8871-G,703010131-3,0.0108,0.0108,0.0094,0.0108,0.0105,0.0108,0.0108,0.0108,0.0108,0.0121
703010131-3-8901-G,703010131-3,0.0024,0.0024,0.0017,0.0024,0.0025,0.0024,0.0024,0.0024,0.0024,
703010131-3-8907-C,703010131-3,0.0057,0.0057,0.0062,0.0057,0.006,0.0053,0.0057,0.0057,0.0057,0.0063
703010131-3-8925-C,703010131-3,0.0045,0.0045,0.0034,0.0045,0.0047,0.0053,0.0043,0.0045,0.0045,0.0048
703010131-3-8929-T,703010131-3,0.0011,0.0011,0.0014,0.0011,0.0011,,0.0011,0.0011,0.0011,0.001
703010131-3-8935--,703010131-3,-0.0006,-0.0006,-0.0017,-0.0006,-0.0007,-0.0005,-0.0006,-0.0006,-0.0006,-0.0012
703010131-3-8944-C,703010131-3,0.0413,0.0413,0.0385,0.0413,0.0415,0.041,0.0414,0.0413,0.0413,0.0425
703010131-3-8945-C,703010131-3,-0.0005,-0.0005,-0.0004,-0.0005,-0.0004,-0.0007,-0.0005,-0.0005,-0.0005,-0.0006
703010131-3-8954-A,703010131-3,0.0013,0.0013,0.0006,0.0013,0.0013,0.0014,0.0013,0.0013,0.0013,0.001
703010131-3-8961-C,703010131-3,0.0021,0.0021,0.0018,0.0021,0.0021,0.0022,0.0021,0.0021,0.0021,0.0015
703010131-3-8961-G,703010131-3,0.0012,0.0012,0.0013,0.0012,0.0013,0.0013,0.0012,0.0012,0.0012,0.0009
703010131-3-8973-G,703010131-3,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,,-0.0011,-0.0011,-0.0011,-0.0008
703010131-3-8975-T,703010131-3,-0.0009,-0.0009,-0.0016,-0.0009,-0.0009,-0.0008,-0.0009,-0.0009,-0.0009,-0.0007
703010131-3-8988a--,703010131-3,0.0092,0.0092,0.0083,0.0092,0.0094,0.0097,0.009,0.0092,0.0092,0.0105
703010131-3-8988a-A,703010131-3,0.0283,0.0283,0.0272,0.0283,0.029,0.0296,0.0278,0.0283,0.0283,0.0295
703010131-3-8988b--,703010131-3,0.0253,0.0253,0.0256,0.0253,0.026,0.0254,0.0251,0.0253,0.0253,0.0273
703010131-3-8988b-G,703010131-3,0.0604,0.0604,0.0618,0.0604,0.0622,0.0608,0.0601,0.0604,0.0604,0.0631
703010131-3-8988c--,703010131-3,0.0509,0.0509,0.0492,0.0509,0.051,0.0514,0.0508,0.0509,0.0509,0.0511
703010131-3-8988c-C,703010131-3,0.0971,0.0971,0.0948,0.0971,0.0972,0.0983,0.0968,0.0971,0.0971,0.0957
703010131-3-8988c-T,703010131-3,0.0687,0.0687,0.0668,0.0687,0.0694,0.0695,0.0685,0.0687,0.0687,0.0688
703010131-3-8990-G,703010131-3,0.0626,0.0626,0.0628,0.0626,0.0582,0.0631,0.0624,0.0626,0.0626,0.0668
703010131-3-9000-C,703010131-3,-0.009,-0.009,-0.0044,-0.009,-0.0096,-0.0098,-0.009,-0.009,-0.009,-0.0099
703010131-3-9006-T,703010131-3,0.0079,0.0079,0.0062,0.0079,0.0079,0.0083,0.0079,0.0079,0.0079,0.0078
703010131-3-9008-G,703010131-3,0.0443,0.0443,0.045,0.0443,0.0452,0.0437,0.0442,0.0443,0.0443,0.0457
703010131-3-9024-G,703010131-3,-0.0046,-0.0046,-0.0059,-0.0046,-0.0047,-0.0047,-0.0046,-0.0046,-0.0046,-0.0042
703010131-3-9035-A,703010131-3,-0.0102,-0.0102,-0.0118,-0.0102,-0.0105,-0.0097,-0.0103,-0.0102,-0.0102,-0.0105
703010131-3-9063-T,703010131-3,0.0013,0.0013,-0.0004,0.0013,0.0015,0.0013,0.0013,0.0013,0.0013,
703010131-3-9105-T,703010131-3,0.0058,0.0058,0.004,0.0058,0.006,0.0068,0.0055,0.0058,0.0058,0.0062
703010131-3-9108-A,703010131-3,0.002,0.002,0.0004,0.002,0.0019,0.0021,0.002,0.002,0.002,0.0019
703010131-3-9135-T,703010131-3,0.005,0.005,0.0046,0.005,0.0052,0.0046,0.005,0.005,0.005,0.0055
703010131-3-9153-A,703010131-3,-0.0012,-0.0012,-0.0023,-0.0012,-0.0013,-0.0017,-0.0012,-0.0012,-0.0012,-0.0021
703010131-3-9153-T,703010131-3,-0.0004,-0.0004,0.0014,-0.0004,-0.0005,,-0.0004,-0.0004,-0.0004,-0.0009
703010131-3-9156-T,703010131-3,-0.0002,-0.0002,-0.0029,-0.0002,-0.0006,-0.0002,-0.0002,-0.0002,-0.0002,0.0016
703010131-3-9231-G,703010131-3,0.0002,0.0002,0.0005,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003
703010131-3-9243-T,703010131-3,0.0005,0.0005,-0.001,0.0005,0.0006,0.0003,0.0005,0.0005,0.0005,0.001
703010131-3-9253-A,703010131-3,0.0064,0.0064,0.0054,0.0064,0.0066,0.006,0.0064,0.0064,0.0064,0.0078
703010131-3-9263-T,703010131-3,-0.0001,-0.0001,-0.0013,-0.0001,-0.0001,,-0.0001,-0.0001,-0.0001,-0.0002
703010131-3-9265-G,703010131-3,0.0044,0.0044,0.0037,0.0044,0.0045,0.0046,0.0044,0.0044,0.0044,0.0041
703010131-3-9277-G,703010131-3,0.0009,0.0009,0.0084,0.0009,0.0009,,0.0014,0.0009,0.0009,0.0009
703010131-3-9286-C,703010131-3,-0.003,-0.003,-0.0044,-0.003,-0.003,-0.0032,-0.0026,-0.003,-0.003,-0.0027
703010131-3-9302-A,703010131-3,-0.0115,-0.0115,-0.0155,-0.0115,-0.0111,-0.0113,-0.0111,-0.0115,-0.0115,-0.0105
703010131-3-9307-A,703010131-3,0.0004,0.0004,0.0058,0.0004,0.0001,0.0015,0.0008,0.0004,0.0004,-0.0007
703010131-3-9313-G,703010131-3,0.0009,0.0009,-0.0041,0.0009,0.0009,,0.0014,0.0009,0.0009,0.0009
703010131-3-9317-G,703010131-3,0.0203,0.0203,0.0203,0.0203,0.0199,0.02,0.0207,0.0203,0.0203,0.0209
703010131-3-9331-A,703010131-3,0.004,0.004,0.0026,0.004,0.0045,0.004,0.0044,0.004,0.004,0.0044
703010131-3-9360-T,703010131-3,0.0101,0.0101,0.0083,0.0101,0.0099,0.0103,0.0105,0.0101,0.0101,0.0123
703010131-3-9387-A,703010131-3,-0.0077,-0.0077,-0.0095,-0.0077,-0.0078,-0.0068,-0.0076,-0.0077,-0.0077,-0.0078
703010131-3-9402-C,703010131-3,0.0026,0.0026,0.0015,0.0026,0.0025,0.0027,0.003,0.0026,0.0026,0.0025
703010131-3-9416-A,703010131-3,-0.013,-0.013,-0.0152,-0.013,-0.0129,-0.0132,-0.0125,-0.013,-0.013,-0.0131
703010131-3-9443-T,703010131-3,-0.0121,-0.0121,-0.0146,-0.0121,-0.0111,-0.0121,-0.0118,-0.0121,-0.0121,-0.0121
703010131-3-9458g-A,703010131-3,0.0083,0.0083,0.0061,0.0083,0.0084,0.0082,0.0087,0.0083,0.0083,0.0086
703010131-3-9461-A,703010131-3,0.0003,0.0003,-0.0004,0.0003,0.0003,0.0004,0.0007,0.0003,0.0003,0.0004
703010131-3-9466-A,703010131-3,0.0261,0.0261,0.0209,0.0261,0.0256,0.0262,0.0265,0.0261,0.0261,0.0272
703010131-3-9466-C,703010131-3,0.0133,0.0133,0.0041,0.0133,0.0131,0.0134,0.0137,0.0133,0.0133,0.014
703010131-3-9471-C,703010131-3,0.0017,0.0017,0.001,0.0017,0.0017,0.0018,0.0021,0.0017,0.0017,0.0011
703010131-3-9483-A,703010131-3,-0.001,-0.001,-0.0036,-0.001,0.0002,-0.001,-0.0007,-0.001,-0.001,0.0003
703010131-3-9499-T,703010131-3,-0.0096,-0.0096,-0.0116,-0.0096,-0.0096,-0.0094,-0.0092,-0.0096,-0.0096,-0.009
703010131-3-9503--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9504--,703010131-3,0.0002,0.0002,0.0005,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002
703010131-3-9505--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9506--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9507--,703010131-3,-0.0005,-0.0005,-0.0008,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0004
703010131-3-9508--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9509--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9510--,703010131-3,-0.0005,-0.0005,-0.0008,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0004
703010131-3-9511--,703010131-3,0.0002,0.0002,0.0005,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002
703010131-3-9512--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9513--,703010131-3,0.0002,0.0002,0.0005,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002
703010131-3-9514--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9515--,703010131-3,0.0002,0.0002,0.0005,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002
703010131-3-9516--,703010131-3,0.0002,0.0002,0.0005,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002
703010131-3-9517--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9518--,703010131-3,-0.0005,-0.0005,-0.0008,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0004
703010131-3-9519--,703010131-3,0.0002,0.0002,0.0005,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002
703010131-3-9520--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9521--,703010131-3,-0.0005,-0.0005,-0.0008,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0004
703010131-3-9522--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9523--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9524--,703010131-3,-0.0005,-0.0005,-0.0008,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0004
703010131-3-9525--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9526--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9527--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9528--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9529--,703010131-3,-0.0005,-0.0005,-0.0008,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0004
703010131-3-9530--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9531--,703010131-3,0.0053,0.0053,0.0057,0.0053,0.0055,,0.0055,0.0053,0.0053,0.0054
703010131-3-9531-T,703010131-3,0.01,0.01,0.0099,0.01,0.0104,0.0097,0.0101,0.01,0.01,0.0101
703010131-3-9532--,703010131-3,-0.0005,-0.0005,-0.0008,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0004
703010131-3-9533--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9534--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9535--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9536--,703010131-3,0.0002,0.0002,0.0005,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002
703010131-3-9537--,703010131-3,-0.0005,-0.0005,-0.0008,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0004
703010131-3-9538--,703010131-3,-0.0004,-0.0004,-0.0006,-0.0004,-0.0004,,-0.0003,-0.0004,-0.0004,-0.0003
703010131-3-9539--,703010131-3,-0.0005,-0.0005,-0.0009,-0.0005,-0.0005,,-0.0004,-0.0005,-0.0005,-0.0005
703010131-3-9540--,703010131-3,-0.0062,-0.0062,-0.0064,-0.0062,-0.0061,,-0.0061,-0.0062,-0.0062,-0.0059
703010131-3-9540-T,703010131-3,-0.0119,-0.0119,-0.0129,-0.0119,-0.0119,-0.0124,-0.0119,-0.0119,-0.0119,-0.012
703010131-3-9541--,703010131-3,-0.0007,-0.0007,-0.001,-0.0007,-0.0008,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9542--,703010131-3,-0.0006,-0.0006,-0.0007,-0.0006,-0.0006,,-0.0006,-0.0006,-0.0006,-0.0003
703010131-3-9543--,703010131-3,-0.0007,-0.0007,-0.0009,-0.0007,-0.0007,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9544--,703010131-3,-0.0006,-0.0006,-0.0007,-0.0006,-0.0006,,-0.0006,-0.0006,-0.0006,-0.0003
703010131-3-9545--,703010131-3,-0.0007,-0.0007,-0.0009,-0.0007,-0.0007,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9546--,703010131-3,-0.0006,-0.0006,-0.0007,-0.0006,-0.0006,,-0.0006,-0.0006,-0.0006,-0.0003
703010131-3-9547--,703010131-3,-0.0007,-0.0007,-0.0009,-0.0007,-0.0007,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9548--,703010131-3,-0.0006,-0.0006,-0.0007,-0.0006,-0.0006,,-0.0006,-0.0006,-0.0006,-0.0003
703010131-3-9549--,703010131-3,-0.0001,-0.0001,0.0004,-0.0001,-0.0001,,-0.0001,-0.0001,-0.0001,0.0003
703010131-3-9550--,703010131-3,-0.0007,-0.0007,-0.001,-0.0007,-0.0008,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9551--,703010131-3,-0.0007,-0.0007,-0.001,-0.0007,-0.0008,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9552--,703010131-3,-0.0006,-0.0006,-0.0007,-0.0006,-0.0006,,-0.0006,-0.0006,-0.0006,-0.0003
703010131-3-9553--,703010131-3,-0.0001,-0.0001,0.0004,-0.0001,-0.0001,,-0.0001,-0.0001,-0.0001,0.0003
703010131-3-9554--,703010131-3,-0.0007,-0.0007,-0.001,-0.0007,-0.0008,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9555--,703010131-3,-0.0001,-0.0001,0.0004,-0.0001,-0.0001,,-0.0001,-0.0001,-0.0001,0.0003
703010131-3-9556--,703010131-3,-0.0007,-0.0007,-0.0009,-0.0007,-0.0007,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9557--,703010131-3,-0.0007,-0.0007,-0.0009,-0.0007,-0.0007,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9558--,703010131-3,-0.0001,-0.0001,0.0004,-0.0001,-0.0001,,-0.0001,-0.0001,-0.0001,0.0003
703010131-3-9559--,703010131-3,-0.0007,-0.0007,-0.001,-0.0007,-0.0008,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9560--,703010131-3,-0.0001,-0.0001,0.0004,-0.0001,-0.0001,,-0.0001,-0.0001,-0.0001,0.0003
703010131-3-9561--,703010131-3,-0.0006,-0.0006,-0.0007,-0.0006,-0.0006,,-0.0006,-0.0006,-0.0006,-0.0003
703010131-3-9562--,703010131-3,-0.0007,-0.0007,-0.0009,-0.0007,-0.0007,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9563--,703010131-3,-0.0006,-0.0006,-0.0007,-0.0006,-0.0006,,-0.0006,-0.0006,-0.0006,-0.0003
703010131-3-9564--,703010131-3,-0.0007,-0.0007,-0.001,-0.0007,-0.0008,,-0.0007,-0.0007,-0.0007,-0.0004
703010131-3-9565--,703010131-3,-0.0001,-0.0001,0.0004,-0.0001,-0.0001,,-0.0001,-0.0001,-0.0001,0.0003
703010131-3-9566--,703010131-3,-0.0034,-0.0034,-0.0036,-0.0034,-0.0035,-0.0034,-0.0035,-0.0034,-0.0034,-0.0018
703010131-3-9567--,703010131-3,-0.0034,-0.0034,-0.0035,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0017
703010131-3-9568--,703010131-3,-0.0034,-0.0034,-0.0035,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0017
703010131-3-9569--,703010131-3,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0016
703010131-3-9570--,703010131-3,-0.0034,-0.0034,-0.0036,-0.0034,-0.0035,-0.0034,-0.0035,-0.0034,-0.0034,-0.0018
703010131-3-9571--,703010131-3,-0.0034,-0.0034,-0.0036,-0.0034,-0.0035,-0.0034,-0.0035,-0.0034,-0.0034,-0.0018
703010131-3-9572--,703010131-3,-0.0034,-0.0034,-0.0036,-0.0034,-0.0035,-0.0034,-0.0035,-0.0034,-0.0034,-0.0018
703010131-3-9573--,703010131-3,-0.0027,-0.0027,-0.0022,-0.0027,-0.0028,-0.0027,-0.0028,-0.0027,-0.0027,-0.0011
703010131-3-9574--,703010131-3,-0.0034,-0.0034,-0.0036,-0.0034,-0.0035,-0.0034,-0.0035,-0.0034,-0.0034,-0.0018
703010131-3-9575--,703010131-3,-0.0034,-0.0034,-0.0035,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0017
703010131-3-9576--,703010131-3,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0016
703010131-3-9577--,703010131-3,-0.0034,-0.0034,-0.0035,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0017
703010131-3-9578--,703010131-3,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0016
703010131-3-9579--,703010131-3,-0.0034,-0.0034,-0.0035,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0017
703010131-3-9580--,703010131-3,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0016
703010131-3-9581--,703010131-3,-0.0034,-0.0034,-0.0036,-0.0034,-0.0035,-0.0034,-0.0035,-0.0034,-0.0034,-0.0018
703010131-3-9582--,703010131-3,-0.0034,-0.0034,-0.0036,-0.0034,-0.0035,-0.0034,-0.0035,-0.0034,-0.0034,-0.0018
703010131-3-9583--,703010131-3,-0.0034,-0.0034,-0.0035,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0017
703010131-3-9584--,703010131-3,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0016
703010131-3-9585--,703010131-3,-0.0027,-0.0027,-0.0022,-0.0027,-0.0028,-0.0027,-0.0028,-0.0027,-0.0027,-0.0011
703010131-3-9586--,703010131-3,0.0036,0.0036,0.0036,0.0036,0.0038,0.0035,0.0036,0.0036,0.0036,-0.0071
